status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_inr,date_recorded
EMPLOYED,55+,,Fintech,,Low,,106900.0,2023-02-05
,18 to 24,Ph.D,Retail,Bangalore,High,,93300.0,2023-02-06
employed,18 to 24,High School,Fintech,,low,,73500.0,2023-02-07
UNEMPLOYED,25_34,Diploma,Healthcare,,HIGH,9.0,21500.0,2023-02-08
employed,25-34,Bachelor's,Fintech,Delhi,Low,25.0,7700.0,2023-02-11
unemployed,45-54,Masters,Tech,Hyderabad,low,10.0,12900.0,2023-02-12
,25-34,PhD,Retail,Bangalore,moderate,1.0,31800.0,2023-02-13
Employed,25_34,High School,Health,Hyderabad,Medium,11.0,97900.0,2023-02-14
unemployed,18-24,PhD,Fintech,rural,moderate,4.0,14200.0,2023-02-15
Unemployed,25_34,PhD,Retail,suburban,High,17.0,106500.0,2023-02-16
,25_34,Diploma,Education,Delhi,Low,,39500.0,2023-02-17
,55+,Master,Retail,,HIGH,30.0,126600.0,2023-02-18
UNEMPLOYED,18-24,PhD,Retail,Delhi,HIGH,7.0,15700.0,2023-02-19
employed,35 - 44,,Finance,Delhi,High,27.0,115700.0,2023-02-20
Employed,18 to 24,high school,Retail,Mumbai,Low,,18800.0,2023-02-21
employed,45-54,Bachelors,Technology,urban,Low,,127400.0,2023-02-22
employed,,Ph.D,Finance,Mumbai,High,26.0,21600.0,2023-02-23
UNEMPLOYED,45-54,Masters,Healthcare,Delhi,moderate,6.0,42100.0,2023-02-24
EMPLOYED,25_34,Masters,Education,Urban,moderate,28.0,137400.0,2023-02-25
UNEMPLOYED,18-24,high school,Retail,suburban,,,83000.0,2023-02-27
unemployed,18 to 24,Master,Health,Delhi,Low,24.0,126300.0,2023-02-28
UNEMPLOYED,55+,Diploma,Retail,suburban,moderate,,26300.0,2023-03-02
Unemployed,25-34,Masters,Education,Mumbai,Low,24.0,78900.0,2023-03-03
Unemployed,18 to 24,Diploma,Fintech,,High,,51000.0,2023-03-04
Employed,18-24,PhD,Technology,urban,moderate,,48900.0,2023-03-05
,45-54,Diploma,,urban,moderate,,113200.0,2023-03-06
UNEMPLOYED,45-54,Bachelor's,Finance,suburban,moderate,17.0,57200.0,2023-03-09
Employed,45-54,Diploma,Health,urban,,,84000.0,2023-03-10
Employed,25-34,,,rural,low,,63700.0,2023-03-11
unemployed,25-34,Ph.D,Retail,Bangalore,Low,,90500.0,2023-03-12
EMPLOYED,35 - 44,high school,Retail,Bangalore,moderate,15.0,33400.0,2023-03-13
unemployed,45-54,Diploma,Fintech,rural,HIGH,20.0,130700.0,2023-03-15
UNEMPLOYED,18 to 24,High School,Retail,Delhi,Medium,,90000.0,2023-03-16
unemployed,25_34,High School,,Urban,,27.0,142200.0,2023-03-17
UNEMPLOYED,18 to 24,Masters,Finance,suburban,Low,,125800.0,2023-03-18
Unemployed,35 - 44,High School,Education,Mumbai,,,100200.0,2023-03-20
UNEMPLOYED,,Master,Tech,suburban,low,,140200.0,2023-03-21
Employed,25-34,Bachelor's,Education,Delhi,low,,17900.0,2023-03-22
Employed,25_34,Bachelors,Health,Hyderabad,HIGH,22.0,79100.0,2023-03-23
employed,18-24,high school,Health,suburban,Medium,4.0,46100.0,2023-03-25
Employed,25_34,Diploma,Finance,Mumbai,,26.0,120100.0,2023-03-26
,55+,Bachelors,Tech,Bangalore,moderate,,135100.0,2023-03-27
UNEMPLOYED,55+,Bachelors,Retail,Delhi,Low,,56300.0,2023-03-28
Unemployed,25-34,PhD,Retail,suburban,HIGH,,105400.0,2023-03-29
,55+,Bachelors,Fintech,Delhi,,12.0,148700.0,2023-03-30
EMPLOYED,35 - 44,,Fintech,Hyderabad,low,26.0,88400.0,2023-03-31
EMPLOYED,45-54,Diploma,Finance,Bangalore,HIGH,16.0,124600.0,2023-04-01
employed,35 - 44,Bachelor's,Fintech,Hyderabad,Medium,20.0,19000.0,2023-04-02
EMPLOYED,35 - 44,Master,Retail,Bangalore,HIGH,21.0,66200.0,2023-04-03
Employed,,PhD,Education,Mumbai,HIGH,,81600.0,2023-04-04
Employed,25_34,Ph.D,,urban,High,2.0,8900.0,2023-04-08
Unemployed,25-34,Diploma,Retail,Hyderabad,HIGH,,124300.0,2023-04-09
EMPLOYED,45-54,Ph.D,Health,,Low,12.0,141400.0,2023-04-10
employed,18 to 24,PhD,Tech,Bangalore,,,50600.0,2023-04-11
Employed,45-54,,Technology,Delhi,Medium,25.0,76500.0,2023-04-12
employed,,Diploma,Healthcare,rural,moderate,,44200.0,2023-04-14
employed,45-54,Bachelors,Retail,urban,High,0.0,137100.0,2023-04-15
Unemployed,25-34,Bachelors,Health,urban,Low,16.0,73800.0,2023-04-17
Employed,18 to 24,Diploma,Tech,Delhi,High,,40300.0,2023-04-19
,18-24,Masters,Healthcare,Mumbai,Medium,26.0,25900.0,2023-04-20
,25_34,,Education,,HIGH,5.0,68500.0,2023-04-21
unemployed,35 - 44,Ph.D,Finance,Delhi,low,28.0,44700.0,2023-04-22
unemployed,18 to 24,PhD,Health,urban,High,10.0,20200.0,2023-04-23
Employed,25-34,,,urban,Medium,1.0,130200.0,2023-04-24
Employed,25-34,Masters,Education,suburban,low,15.0,7600.0,2023-04-25
unemployed,45-54,High School,Finance,Delhi,low,,109500.0,2023-04-26
employed,25-34,PhD,Retail,Urban,Low,,26900.0,2023-04-27
EMPLOYED,35 - 44,High School,Technology,rural,Low,7.0,21000.0,2023-04-28
,25_34,,Finance,Urban,Medium,,5400.0,2023-04-29
employed,18 to 24,PhD,,Mumbai,High,,35200.0,2023-04-30
Employed,45-54,PhD,Tech,Hyderabad,High,18.0,10500.0,2023-05-02
,45-54,High School,Healthcare,Urban,HIGH,0.0,123100.0,2023-05-03
Employed,,High School,Technology,Mumbai,Medium,8.0,43400.0,2023-05-04
employed,45-54,,Finance,,Medium,20.0,79000.0,2023-05-05
EMPLOYED,25_34,Diploma,Education,urban,High,,125300.0,2023-05-06
UNEMPLOYED,25_34,Ph.D,Tech,urban,Medium,23.0,11500.0,2023-05-07
unemployed,35 - 44,High School,Retail,Hyderabad,moderate,,23500.0,2023-05-10
UNEMPLOYED,18 to 24,Bachelor's,Education,Delhi,,,54800.0,2023-05-11
,35 - 44,Bachelors,Fintech,,Medium,,140000.0,2023-05-12
,45-54,High School,Retail,Urban,HIGH,,110800.0,2023-05-14
employed,25_34,Masters,Finance,suburban,,11.0,67000.0,2023-05-15
employed,25_34,high school,Finance,Bangalore,,,109800.0,2023-05-16
Unemployed,35 - 44,Masters,Retail,Mumbai,Medium,,65300.0,2023-05-19
EMPLOYED,35 - 44,High School,Technology,urban,Low,,76500.0,2023-05-20
employed,25-34,,Technology,Hyderabad,Low,5.0,141000.0,2023-05-21
EMPLOYED,18-24,Diploma,Healthcare,Delhi,HIGH,,8000.0,2023-05-22
Unemployed,25_34,,Health,Bangalore,,,52800.0,2023-05-23
Employed,25_34,Bachelors,Education,suburban,,,96300.0,2023-05-24
employed,,,Retail,Bangalore,HIGH,0.0,103700.0,2023-05-25
EMPLOYED,25_34,Bachelors,Education,rural,Low,,100700.0,2023-05-26
Unemployed,18 to 24,Masters,Fintech,Urban,HIGH,17.0,122200.0,2023-05-27
employed,25-34,,Healthcare,rural,,,22700.0,2023-05-29
Unemployed,18-24,Bachelor's,Tech,Bangalore,moderate,,89900.0,2023-05-31
employed,18-24,Master,,Delhi,low,30.0,65200.0,2023-06-01
Employed,25-34,Diploma,Retail,Hyderabad,HIGH,,97100.0,2023-06-03
,18 to 24,high school,Education,Bangalore,,5.0,40400.0,2023-06-04
Employed,18 to 24,Masters,Retail,suburban,High,,102600.0,2023-06-05
Unemployed,55+,Master,Retail,urban,HIGH,,125900.0,2023-06-06
UNEMPLOYED,25_34,,Fintech,Bangalore,,5.0,135500.0,2023-06-07
EMPLOYED,25_34,Bachelors,Education,Hyderabad,,0.0,22400.0,2023-06-09
UNEMPLOYED,45-54,,Health,,moderate,,50000.0,2023-06-10
employed,55+,Bachelor's,Health,Urban,,,81200.0,2023-06-11
Employed,55+,Masters,Retail,,HIGH,,119200.0,2023-06-12
employed,35 - 44,Diploma,Retail,Hyderabad,HIGH,,106600.0,2023-06-13
Employed,18 to 24,Masters,Health,Mumbai,moderate,3.0,44700.0,2023-06-14
,25-34,Diploma,Education,Bangalore,moderate,19.0,37600.0,2023-06-15
unemployed,18-24,Bachelors,Health,Hyderabad,HIGH,,131300.0,2023-06-16
employed,,PhD,Education,suburban,Medium,,118300.0,2023-06-17
employed,25_34,Ph.D,Retail,Urban,low,,75300.0,2023-06-18
Unemployed,55+,Diploma,Technology,,HIGH,19.0,53300.0,2023-06-19
unemployed,18-24,Bachelors,Health,urban,low,,88400.0,2023-06-20
Unemployed,55+,Master,Education,Mumbai,Low,19.0,110800.0,2023-06-21
unemployed,55+,Bachelors,Education,Hyderabad,Low,28.0,115100.0,2023-06-22
employed,25_34,Bachelors,Education,Hyderabad,,9.0,11800.0,2023-06-23
EMPLOYED,55+,high school,Retail,,HIGH,,41000.0,2023-06-24
unemployed,35 - 44,Ph.D,Retail,Urban,HIGH,23.0,16400.0,2023-06-25
unemployed,,Masters,Tech,Hyderabad,Low,18.0,80100.0,2023-06-26
Unemployed,45-54,,Retail,Urban,HIGH,,21200.0,2023-06-28
unemployed,18-24,high school,Technology,urban,Low,,12500.0,2023-06-29
UNEMPLOYED,45-54,PhD,Retail,suburban,High,,70700.0,2023-06-30
Unemployed,18-24,high school,Retail,suburban,low,29.0,96000.0,2023-07-01
employed,18-24,Masters,Health,suburban,low,,123200.0,2023-07-02
Unemployed,35 - 44,Ph.D,Healthcare,Urban,Medium,5.0,54200.0,2023-07-04
Unemployed,55+,Masters,Healthcare,suburban,Medium,,24000.0,2023-07-05
UNEMPLOYED,55+,Bachelor's,Health,rural,,,65100.0,2023-07-06
,25-34,Masters,,suburban,HIGH,,85900.0,2023-07-07
,,Bachelor's,Health,suburban,HIGH,,67000.0,2023-07-08
unemployed,55+,Bachelor's,Finance,Mumbai,moderate,,114100.0,2023-07-09
EMPLOYED,25-34,High School,Education,Mumbai,Medium,,30100.0,2023-07-10
Unemployed,,Bachelor's,Technology,Bangalore,Low,17.0,139100.0,2023-07-11
unemployed,,High School,Retail,rural,High,,140500.0,2023-07-12
Unemployed,18 to 24,Bachelors,Health,Hyderabad,Low,,60500.0,2023-07-13
Employed,18-24,High School,Tech,Delhi,Low,,58000.0,2023-07-14
employed,,Diploma,Finance,Mumbai,moderate,24.0,118200.0,2023-07-15
employed,18-24,High School,Tech,Mumbai,High,29.0,77200.0,2023-07-16
Employed,45-54,Bachelor's,Finance,urban,High,24.0,96400.0,2023-07-17
Employed,55+,Diploma,Education,Urban,low,,116300.0,2023-07-20
employed,18-24,,Education,Mumbai,Medium,,66400.0,2023-07-22
,25-34,Diploma,Fintech,Mumbai,Medium,13.0,32900.0,2023-07-23
unemployed,35 - 44,,Health,Urban,Medium,,125900.0,2023-07-24
EMPLOYED,18-24,,,Urban,moderate,22.0,82700.0,2023-07-25
unemployed,35 - 44,,,rural,,28.0,102300.0,2023-07-27
EMPLOYED,25_34,PhD,Health,Delhi,HIGH,,121300.0,2023-07-28
,18-24,PhD,Education,,Low,20.0,64500.0,2023-07-29
unemployed,25-34,Diploma,Retail,Urban,Low,,75200.0,2023-07-30
unemployed,45-54,Bachelor's,Health,rural,moderate,11.0,74200.0,2023-07-31
Unemployed,55+,Masters,Tech,suburban,moderate,18.0,127100.0,2023-08-01
employed,25-34,high school,Education,rural,High,14.0,68600.0,2023-08-02
,25_34,PhD,Technology,Mumbai,,,37700.0,2023-08-04
employed,35 - 44,Bachelor's,Health,Delhi,low,,76000.0,2023-08-05
EMPLOYED,55+,Ph.D,Education,Hyderabad,HIGH,21.0,31500.0,2023-08-07
unemployed,25_34,Bachelors,Healthcare,rural,Low,,126700.0,2023-08-08
,35 - 44,Diploma,Tech,Mumbai,Low,13.0,6500.0,2023-08-10
,45-54,Bachelors,Retail,Hyderabad,HIGH,,45500.0,2023-08-11
Employed,18-24,Bachelor's,Retail,Hyderabad,Medium,20.0,22300.0,2023-08-12
,18 to 24,,Technology,Urban,HIGH,,6500.0,2023-08-13
Unemployed,,,Retail,urban,High,22.0,107400.0,2023-08-16
unemployed,,Bachelor's,Technology,Bangalore,Low,,83800.0,2023-08-17
unemployed,18 to 24,high school,Retail,Delhi,HIGH,25.0,70400.0,2023-08-18
EMPLOYED,25_34,Ph.D,Tech,Hyderabad,Low,2.0,105700.0,2023-08-19
Unemployed,35 - 44,Diploma,,Mumbai,moderate,10.0,11300.0,2023-08-20
Unemployed,18 to 24,Bachelor's,Finance,Delhi,High,7.0,17600.0,2023-08-23
unemployed,,Master,Retail,urban,moderate,,8000.0,2023-08-24
employed,45-54,,Education,Mumbai,Low,28.0,7100.0,2023-08-26
unemployed,18-24,Ph.D,Tech,,Low,27.0,35500.0,2023-08-27
unemployed,45-54,PhD,Finance,,Low,0.0,96600.0,2023-08-28
EMPLOYED,45-54,Ph.D,Tech,,HIGH,,136200.0,2023-08-29
employed,,Masters,Healthcare,,HIGH,15.0,35100.0,2023-08-30
unemployed,,Bachelor's,Education,Mumbai,High,,39900.0,2023-08-31
employed,,Diploma,Retail,Bangalore,High,,77600.0,2023-09-01
,18-24,Masters,Retail,Delhi,,7.0,15000.0,2023-09-02
,18 to 24,Bachelor's,Healthcare,urban,Low,,92500.0,2023-09-03
unemployed,25-34,Masters,Healthcare,rural,High,,106800.0,2023-09-04
Unemployed,18 to 24,Bachelors,Tech,Urban,Medium,,79900.0,2023-09-05
,25_34,Bachelor's,Fintech,Bangalore,moderate,,125300.0,2023-09-06
unemployed,25-34,Master,Tech,Hyderabad,Medium,23.0,102200.0,2023-09-08
employed,45-54,Bachelors,,Urban,High,,82300.0,2023-09-09
employed,25-34,Ph.D,Healthcare,Mumbai,low,23.0,102800.0,2023-09-10
employed,18-24,,Education,suburban,High,17.0,84100.0,2023-09-11
employed,18 to 24,Master,Health,Hyderabad,low,6.0,68500.0,2023-09-12
,18-24,Bachelor's,Tech,suburban,moderate,1.0,126900.0,2023-09-14
EMPLOYED,,high school,,Urban,moderate,6.0,120300.0,2023-09-15
Employed,18 to 24,Master,Tech,urban,Low,,37000.0,2023-09-16
Employed,25_34,PhD,Retail,Bangalore,HIGH,,119400.0,2023-09-17
EMPLOYED,18 to 24,Ph.D,Healthcare,rural,,30.0,144200.0,2023-09-18
Employed,,Bachelors,Finance,,moderate,29.0,37500.0,2023-09-19
employed,35 - 44,Diploma,Health,,Medium,,26100.0,2023-09-20
UNEMPLOYED,35 - 44,Master,Finance,,,3.0,104000.0,2023-09-21
EMPLOYED,45-54,high school,Education,Bangalore,High,6.0,66200.0,2023-09-22
unemployed,18 to 24,Diploma,Fintech,,moderate,8.0,106700.0,2023-09-23
unemployed,55+,Bachelors,Fintech,Hyderabad,Medium,5.0,88000.0,2023-09-24
EMPLOYED,25-34,Bachelors,Tech,Hyderabad,HIGH,26.0,103000.0,2023-09-25
EMPLOYED,18-24,Ph.D,,suburban,High,13.0,114200.0,2023-09-26
employed,25_34,PhD,Retail,suburban,Low,,8900.0,2023-09-27
,45-54,Ph.D,Health,rural,moderate,,44300.0,2023-09-28
,,Ph.D,Tech,,low,,104400.0,2023-09-29
Employed,,Diploma,Retail,Urban,,14.0,129800.0,2023-10-01
,25_34,Bachelors,Retail,Mumbai,High,,66100.0,2023-10-02
EMPLOYED,18-24,Bachelors,Finance,Bangalore,Low,,114500.0,2023-10-03
Unemployed,18 to 24,high school,Retail,Mumbai,Low,,112900.0,2023-10-04
employed,18-24,Ph.D,,Mumbai,low,3.0,88300.0,2023-10-05
Employed,18 to 24,Bachelor's,Retail,rural,HIGH,,34400.0,2023-10-06
EMPLOYED,25_34,high school,Retail,Delhi,Low,26.0,144200.0,2023-10-07
Employed,45-54,Bachelors,Tech,suburban,low,,8700.0,2023-10-08
UNEMPLOYED,18-24,Masters,Tech,Urban,moderate,,13900.0,2023-10-09
employed,18 to 24,Bachelors,Fintech,urban,High,17.0,78200.0,2023-10-12
unemployed,45-54,Diploma,Tech,Bangalore,HIGH,,135100.0,2023-10-13
Employed,55+,PhD,Fintech,suburban,Medium,7.0,109300.0,2023-10-16
unemployed,25-34,Diploma,,Delhi,High,,57800.0,2023-10-17
,18 to 24,Bachelors,Health,,High,,113000.0,2023-10-19
Employed,25-34,Bachelor's,Retail,Delhi,HIGH,,32100.0,2023-10-20
UNEMPLOYED,18-24,High School,Fintech,Mumbai,Low,3.0,12600.0,2023-10-21
employed,25_34,Diploma,Retail,Hyderabad,HIGH,,71800.0,2023-10-22
employed,25_34,Ph.D,Tech,Urban,moderate,,101500.0,2023-10-24
EMPLOYED,25_34,Master,Health,Bangalore,,30.0,30500.0,2023-10-25
,18 to 24,Bachelor's,Healthcare,suburban,low,12.0,78300.0,2023-10-26
Unemployed,18-24,Masters,,Urban,High,24.0,98200.0,2023-10-27
EMPLOYED,45-54,Bachelor's,Education,suburban,,22.0,105000.0,2023-10-28
UNEMPLOYED,25_34,PhD,Health,urban,High,21.0,141700.0,2023-10-29
Employed,35 - 44,Bachelors,Fintech,suburban,,,146900.0,2023-10-30
EMPLOYED,55+,Bachelors,Retail,urban,Medium,,22100.0,2023-10-31
,45-54,high school,Health,Hyderabad,,13.0,83800.0,2023-11-01
Unemployed,18-24,PhD,,Delhi,Medium,,133600.0,2023-11-02
Employed,18-24,high school,Retail,rural,Low,15.0,102800.0,2023-11-03
employed,45-54,Ph.D,Finance,urban,HIGH,25.0,89300.0,2023-11-04
Unemployed,25-34,Master,Healthcare,urban,Low,,61200.0,2023-11-05
Unemployed,18 to 24,Bachelors,Technology,Delhi,,2.0,108300.0,2023-11-06
Unemployed,25_34,high school,,urban,HIGH,,128500.0,2023-11-07
Employed,18-24,PhD,,Urban,High,,117600.0,2023-11-08
employed,25-34,High School,Retail,rural,Medium,,21400.0,2023-11-09
UNEMPLOYED,35 - 44,,Technology,urban,Low,6.0,137300.0,2023-11-10
UNEMPLOYED,55+,PhD,Fintech,Bangalore,Low,,62300.0,2023-11-11
EMPLOYED,18-24,High School,Health,Mumbai,,15.0,88500.0,2023-11-12
unemployed,25-34,PhD,Fintech,Hyderabad,Low,23.0,141200.0,2023-11-14
UNEMPLOYED,18 to 24,Master,Finance,,low,,142300.0,2023-11-15
,25_34,Ph.D,Education,Mumbai,low,1.0,115000.0,2023-11-16
EMPLOYED,45-54,PhD,Fintech,suburban,moderate,0.0,89600.0,2023-11-18
Unemployed,35 - 44,Masters,Education,suburban,moderate,0.0,42700.0,2023-11-19
Employed,55+,Masters,Fintech,rural,Medium,25.0,38000.0,2023-11-21
Unemployed,18 to 24,High School,Healthcare,Delhi,moderate,20.0,39800.0,2023-11-22
,45-54,,,Hyderabad,Medium,1.0,31000.0,2023-11-23
EMPLOYED,35 - 44,Bachelors,Fintech,,High,12.0,61500.0,2023-11-24
EMPLOYED,35 - 44,Masters,,suburban,Medium,28.0,56800.0,2023-11-25
employed,35 - 44,PhD,Healthcare,suburban,,7.0,15900.0,2023-11-26
Unemployed,55+,Diploma,Retail,Urban,moderate,20.0,96600.0,2023-11-27
UNEMPLOYED,25-34,Ph.D,Healthcare,Bangalore,,,96100.0,2023-11-29
Employed,18-24,Bachelor's,Finance,Bangalore,,26.0,72400.0,2023-12-01
Unemployed,55+,PhD,,Delhi,Medium,,143000.0,2023-12-02
employed,35 - 44,Master,Health,Hyderabad,High,,35700.0,2023-12-03
UNEMPLOYED,18-24,,Retail,urban,,13.0,8700.0,2023-12-05
,25_34,Diploma,Technology,,High,22.0,141800.0,2023-12-06
unemployed,35 - 44,,Health,urban,Low,,21500.0,2023-12-07
UNEMPLOYED,35 - 44,High School,Finance,,Medium,4.0,126000.0,2023-12-08
employed,25-34,Masters,,,Medium,,92700.0,2023-12-10
unemployed,25_34,Master,Fintech,Delhi,High,,139900.0,2023-12-12
EMPLOYED,55+,Ph.D,Retail,urban,High,,26900.0,2023-12-13
EMPLOYED,25_34,Bachelor's,,urban,High,3.0,5400.0,2023-12-15
UNEMPLOYED,55+,high school,Finance,,Low,,81100.0,2023-12-16
UNEMPLOYED,45-54,,Retail,Bangalore,HIGH,14.0,139700.0,2023-12-18
unemployed,45-54,Bachelor's,Fintech,suburban,low,,112900.0,2023-12-19
EMPLOYED,55+,Master,,Mumbai,moderate,30.0,109900.0,2023-12-20
Employed,18 to 24,high school,Finance,suburban,Medium,,112400.0,2023-12-21
Employed,,Bachelors,,suburban,moderate,26.0,108300.0,2023-12-22
Employed,18-24,PhD,Education,Delhi,HIGH,,71400.0,2023-12-23
UNEMPLOYED,,Bachelors,Education,urban,moderate,,17600.0,2023-12-24
Unemployed,18 to 24,Masters,Education,suburban,Low,10.0,51000.0,2023-12-25
Unemployed,25_34,High School,Finance,Delhi,HIGH,,109800.0,2023-12-26
Unemployed,18 to 24,Masters,Finance,Mumbai,High,,111300.0,2023-12-27
,18 to 24,Master,Education,,Medium,22.0,92900.0,2023-12-28
,55+,,Technology,urban,High,24.0,28100.0,2023-12-29
Employed,35 - 44,Bachelor's,Education,suburban,low,16.0,100400.0,2023-12-30
employed,25_34,Bachelors,Retail,Bangalore,low,,138600.0,2024-01-01
,18-24,Bachelors,Healthcare,Delhi,moderate,30.0,40100.0,2024-01-03
employed,55+,Bachelor's,Health,Delhi,moderate,,104800.0,2024-01-04
Unemployed,35 - 44,Master,,Bangalore,low,7.0,95700.0,2024-01-05
,,high school,Finance,Hyderabad,,,36700.0,2024-01-06
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,,116000.0,2024-01-09
Unemployed,45-54,Master,Education,rural,moderate,2.0,29300.0,2024-01-10
UNEMPLOYED,18 to 24,high school,,Bangalore,HIGH,,24700.0,2024-01-11
employed,55+,PhD,Retail,Mumbai,low,,36200.0,2024-01-12
UNEMPLOYED,25_34,Masters,Education,Delhi,Medium,10.0,17800.0,2024-01-13
unemployed,18-24,Master,Health,Urban,Medium,11.0,52900.0,2024-01-14
unemployed,35 - 44,Masters,Retail,,low,,141000.0,2024-01-15
UNEMPLOYED,45-54,high school,Retail,rural,HIGH,,90300.0,2024-01-16
employed,25-34,,Finance,Urban,,30.0,139000.0,2024-01-17
Employed,35 - 44,Bachelors,Technology,Bangalore,HIGH,,63200.0,2024-01-18
unemployed,,Ph.D,Tech,urban,moderate,,94400.0,2024-01-19
unemployed,35 - 44,Ph.D,Technology,Delhi,low,0.0,34800.0,2024-01-20
,25_34,Master,Finance,rural,HIGH,,61200.0,2024-01-21
Employed,35 - 44,,Health,rural,HIGH,29.0,138400.0,2024-01-22
Employed,18-24,high school,Technology,Urban,Medium,,97300.0,2024-01-23
UNEMPLOYED,18-24,High School,Healthcare,Mumbai,moderate,29.0,64300.0,2024-01-24
employed,25_34,Bachelor's,,Bangalore,moderate,,59100.0,2024-01-25
UNEMPLOYED,,Masters,Retail,suburban,,19.0,92700.0,2024-01-26
UNEMPLOYED,25_34,Masters,Retail,urban,moderate,24.0,64900.0,2024-01-27
unemployed,18 to 24,Masters,Tech,Delhi,HIGH,,45800.0,2024-01-28
,25-34,Masters,Retail,Urban,High,26.0,120000.0,2024-01-29
Employed,35 - 44,,Tech,Mumbai,HIGH,11.0,134400.0,2024-01-30
unemployed,25_34,Bachelor's,Education,Bangalore,Low,1.0,106500.0,2024-01-31
Unemployed,55+,Master,,Bangalore,,,140000.0,2024-02-01
Employed,45-54,Bachelor's,Education,Hyderabad,low,,86300.0,2024-02-04
unemployed,35 - 44,PhD,Retail,suburban,moderate,,39500.0,2024-02-05
Unemployed,25_34,,Retail,Delhi,Medium,,71000.0,2024-02-06
employed,,Master,Healthcare,Delhi,moderate,,131000.0,2024-02-08
employed,18-24,Ph.D,Education,Mumbai,High,,42600.0,2024-02-09
,18 to 24,Bachelor's,Technology,Mumbai,HIGH,10.0,86700.0,2024-02-10
Employed,25_34,Masters,,rural,moderate,,21500.0,2024-02-12
unemployed,,Diploma,,rural,Low,15.0,100400.0,2024-02-13
EMPLOYED,45-54,Ph.D,Retail,rural,,15.0,111300.0,2024-02-15
EMPLOYED,,Masters,Finance,Urban,HIGH,23.0,100900.0,2024-02-17
Employed,25_34,,Education,Delhi,,,36600.0,2024-02-18
Unemployed,18-24,Ph.D,Retail,suburban,High,5.0,46300.0,2024-02-19
Employed,,Masters,Tech,rural,Low,,115600.0,2024-02-22
UNEMPLOYED,,high school,Healthcare,suburban,moderate,30.0,8600.0,2024-02-24
,35 - 44,high school,Education,Bangalore,High,,117600.0,2024-02-25
EMPLOYED,35 - 44,high school,Finance,Bangalore,low,,12400.0,2024-02-26
EMPLOYED,45-54,Bachelors,Education,Hyderabad,HIGH,5.0,119200.0,2024-02-27
UNEMPLOYED,18 to 24,Master,Tech,Hyderabad,High,,109300.0,2024-02-28
employed,45-54,Master,Retail,Hyderabad,moderate,,84700.0,2024-02-29
Employed,18-24,Bachelors,Fintech,Urban,low,,9100.0,2024-03-01
Employed,,Bachelors,Education,Urban,,9.0,88800.0,2024-03-02
UNEMPLOYED,25-34,Bachelor's,Tech,Hyderabad,moderate,2.0,16000.0,2024-03-03
